Product,Model,Features,Package,Frequency,Tolerance,Stability,Temp,Stock,Load,Capacitance,Overtone,StockDue,More
LFXTAL024708Bulk,12SMX,0.00,0.00,25.000000,100.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL024752Reel,12SMX,0.00,0.00,28.224000,50.00,50.00,-10.00,60.00,12.50,FUND,True,9 Weeks,12SMX
LFXTAL024869Reel,12SMX,0.00,0.00,40.000000,50.00,50.00,-10.00,60.00,SR,3RD,True,9 Weeks,12SMX
LFXTAL024971Reel,12SMX,0.00,0.00,12.000000,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL025003Reel,12SMX,0.00,0.00,10.000000,50.00,100.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL025207Bulk,12SMX,0.00,0.00,15.360000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL025207Reel,12SMX,0.00,0.00,15.360000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL025307Cutt,12SMX,0.00,0.00,8.000000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL025307Reel,12SMX,0.00,0.00,8.000000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL025320Reel,12SMX,0.00,0.00,24.576000,30.00,30.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL025321Cutt,12SMX,0.00,0.00,24.576000,30.00,30.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL025321Reel,12SMX,0.00,0.00,24.576000,30.00,30.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL025322Reel,12SMX,0.00,0.00,24.576000,30.00,30.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL025337Bulk,12SMX,0.00,0.00,28.224000,50.00,30.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
